monthly_income,rent,utilities,existing_emi,income_stability,affordability_index,nsf_frequency,bill_payment_latency,network_centrality,time_to_zero,time_to_zero_norm,debt_to_income,transaction_frequency,txn_freq_norm,merchant_diversity,age,loan_tenure_months,requested_amount,default
8000.0,1086.0,1351.0,2302.0,0.4374,0.4076,8,2.66,0.3,16.5,0.5502,0.2878,31,0.31,15,46,6,36000.0,0
8000.0,3536.0,699.0,2378.0,0.576,0.1734,6,1.39,0.26,30.0,1.0,0.2972,25,0.25,13,34,12,23500.0,1
15719.0,4718.0,2614.0,795.0,0.1332,0.483,10,-1.96,0.1,8.4,0.2807,0.0506,20,0.2,5,25,18,87600.0,0
11996.0,5120.0,2020.0,2651.0,0.3835,0.1838,3,0.78,0.18,9.5,0.3178,0.221,27,0.27,9,51,18,59700.0,0
26597.0,10826.0,1856.0,1612.0,0.4213,0.4626,4,4.51,0.12,1.0,0.0333,0.0606,22,0.22,6,51,12,115100.0,0
12774.0,2056.0,1940.0,1997.0,0.3207,0.5309,8,10.91,0.28,5.1,0.1687,0.1563,32,0.32,14,50,18,99200.0,0
9439.0,1551.0,582.0,2905.0,0.1428,0.4662,3,5.01,0.16,13.1,0.4382,0.3077,27,0.27,8,40,12,27800.0,0
53071.0,23346.0,2432.0,14664.0,0.0829,0.238,1,-4.9,0.28,6.9,0.2287,0.2763,23,0.23,14,42,12,348700.0,0
19236.0,8167.0,2456.0,3840.0,0.671,0.2481,7,3.9,0.28,1.2,0.0392,0.1996,20,0.2,14,35,6,109600.0,1
22937.0,6196.0,4231.0,6492.0,0.1233,0.2624,4,5.04,0.3,10.0,0.3349,0.283,28,0.28,15,31,12,157100.0,0
9369.0,1263.0,338.0,501.0,0.3629,0.7756,7,10.31,0.42,9.5,0.3158,0.0535,26,0.26,21,23,12,53600.0,0
15889.0,1675.0,2709.0,1084.0,0.477,0.6558,3,6.35,0.34,1.0,0.0333,0.0682,31,0.31,17,48,12,118200.0,0
23542.0,5407.0,2733.0,1721.0,0.1756,0.5811,3,1.16,0.34,19.9,0.662,0.0731,31,0.31,17,39,12,83800.0,0
11041.0,1150.0,1947.0,2999.0,0.6273,0.4479,4,3.51,0.3,1.1,0.0381,0.2716,33,0.33,15,31,24,85600.0,1
27596.0,5617.0,4785.0,8605.0,0.2597,0.3112,7,0.19,0.24,30.0,1.0,0.3118,24,0.24,12,44,18,87400.0,0
15361.0,4436.0,2747.0,3026.0,0.4407,0.3354,8,3.67,0.2,1.0,0.0333,0.197,18,0.18,10,36,24,121600.0,1
18490.0,2859.0,2971.0,6200.0,0.4717,0.3494,3,16.99,0.32,8.5,0.2848,0.3353,24,0.24,16,51,6,118800.0,1
15352.0,2256.0,2661.0,3912.0,0.3027,0.425,14,5.95,0.2,5.2,0.1729,0.2548,24,0.24,10,39,6,111200.0,1
66928.0,33691.0,4011.0,13204.0,0.1847,0.2394,1,-8.3,0.2,3.9,0.1288,0.1973,26,0.26,10,25,12,418900.0,0
21849.0,7941.0,1784.0,4677.0,0.5888,0.3408,11,2.81,0.38,9.2,0.3057,0.2141,22,0.22,19,32,18,104700.0,1
11677.0,6078.0,832.0,3472.0,0.2508,0.1109,10,9.18,0.28,3.8,0.1256,0.2973,25,0.25,14,53,6,27500.0,1
36081.0,9223.0,5636.0,1139.0,0.2897,0.5566,3,6.1,0.4,5.8,0.1939,0.0316,23,0.23,20,31,24,80800.0,0
10588.0,4285.0,594.0,623.0,0.3929,0.4804,4,4.99,0.32,13.5,0.45,0.0588,15,0.15,16,51,24,83400.0,0
24967.0,4796.0,1522.0,2327.0,0.3262,0.6537,3,5.86,0.2,1.3,0.0425,0.0932,27,0.27,10,22,24,165300.0,0
8000.0,3026.0,1435.0,2505.0,0.4274,0.1292,10,2.13,0.28,30.0,1.0,0.3132,33,0.33,14,24,24,60000.0,1
9928.0,1572.0,1489.0,3283.0,0.282,0.361,6,2.93,0.36,19.8,0.6616,0.3307,13,0.13,18,34,12,39300.0,0
24788.0,2502.0,4432.0,3090.0,0.4056,0.5956,6,1.83,0.26,10.2,0.339,0.1247,29,0.29,13,39,6,61800.0,0
34306.0,17811.0,1842.0,11093.0,0.2641,0.1038,3,2.69,0.24,17.9,0.5974,0.3234,22,0.22,12,45,6,250800.0,0
24412.0,8537.0,2388.0,4672.0,0.4246,0.3611,8,1.66,0.24,7.1,0.2373,0.1914,29,0.29,12,53,12,73700.0,1
20550.0,10627.0,1606.0,3404.0,0.5831,0.2391,9,4.67,0.14,4.0,0.1342,0.1656,29,0.29,7,37,18,63500.0,1
18386.0,4601.0,582.0,5359.0,0.3272,0.4267,5,10.31,0.34,10.5,0.3507,0.2915,37,0.37,17,23,18,141700.0,0
9071.0,2245.0,711.0,1734.0,0.3182,0.483,14,-4.5,0.2,30.0,1.0,0.1911,29,0.29,10,45,12,25400.0,1
14301.0,4009.0,1352.0,2275.0,0.2443,0.4661,6,4.07,0.2,10.3,0.3449,0.1591,28,0.28,10,25,24,98900.0,0
16708.0,6979.0,763.0,93.0,0.339,0.531,5,5.7,0.3,4.9,0.1638,0.0056,18,0.18,15,49,24,37500.0,0
41534.0,14729.0,5246.0,187.0,0.2556,0.5146,3,5.78,0.24,17.3,0.5751,0.0045,29,0.29,12,21,18,243700.0,0
27070.0,13979.0,2575.0,5946.0,0.4693,0.1688,7,-1.17,0.08,1.0,0.0333,0.2197,29,0.29,4,34,18,86000.0,1
8000.0,892.0,303.0,206.0,0.2304,0.825,6,0.46,0.24,1.1,0.0373,0.0257,27,0.27,12,53,24,21100.0,0
26754.0,11202.0,4004.0,6901.0,0.3862,0.1737,8,7.86,0.16,2.4,0.0791,0.2579,17,0.17,8,37,12,192200.0,1
17482.0,4347.0,2692.0,3808.0,0.4065,0.3796,8,3.99,0.2,14.0,0.4667,0.2178,23,0.23,10,31,12,41100.0,1
14674.0,2658.0,2522.0,2351.0,0.6393,0.4868,5,2.41,0.22,30.0,1.0,0.1602,30,0.3,11,54,18,97200.0,0
31793.0,10481.0,3578.0,7898.0,0.2187,0.3093,3,1.17,0.12,1.2,0.041,0.2484,27,0.27,6,47,24,141100.0,0
40888.0,13382.0,7960.0,14212.0,0.4206,0.1305,3,5.45,0.18,25.2,0.8388,0.3476,28,0.28,9,43,12,131300.0,0
63897.0,6226.0,7140.0,3321.0,0.3957,0.1149,11,2.49,0.2,21.7,0.7237,0.0862,27,0.27,10,43,18,231100.0,1
13313.0,2541.0,1647.0,2596.0,0.6831,0.4904,7,7.98,0.2,9.8,0.325,0.195,36,0.36,10,49,12,58300.0,1
18297.0,5190.0,1933.0,5398.0,0.2919,0.3157,8,-1.44,0.24,6.6,0.2207,0.295,19,0.19,12,45,18,121800.0,0
26870.0,7630.0,820.0,159.0,0.3364,0.6796,9,1.5,0.22,2.4,0.0808,0.0059,27,0.27,11,42,12,147400.0,0
39550.0,9607.0,5967.0,2817.0,0.3909,0.535,2,9.42,0.28,2.3,0.077,0.0712,30,0.3,14,30,6,227200.0,0
16523.0,2757.0,2083.0,3013.0,0.1925,0.5248,5,3.26,0.3,30.0,1.0,0.1823,25,0.25,15,33,12,34000.0,0
19705.0,2009.0,3732.0,3809.0,0.4025,0.5154,4,-4.0,0.3,1.6,0.0522,0.1933,28,0.28,15,41,6,127300.0,0
11341.0,6086.0,1486.0,343.0,0.2328,0.3022,4,11.39,0.34,6.0,0.2001,0.0302,23,0.23,17,39,18,24400.0,0
10746.0,5637.0,2136.0,1532.0,0.3408,0.134,5,4.35,0.28,6.9,0.2293,0.1426,33,0.33,14,53,12,47000.0,0
35865.0,11392.0,6282.0,6525.0,0.318,0.3253,3,6.35,0.24,2.2,0.0749,0.1819,32,0.32,12,23,24,281000.0,0
49699.0,27224.0,9548.0,7358.0,0.4927,0.1121,4,-0.9,0.22,15.5,0.5169,0.148,32,0.32,11,28,12,282200.0,0
21095.0,8504.0,1808.0,5173.0,0.4183,0.2659,4,0.31,0.24,5.9,0.1959,0.2452,25,0.25,12,41,12,137800.0,0
40220.0,5268.0,2228.0,10858.0,0.2165,0.5436,2,1.63,0.22,6.0,0.2003,0.27,17,0.17,11,21,12,84100.0,0
27364.0,4186.0,4528.0,4408.0,0.407,0.5205,7,-1.13,0.22,3.2,0.1054,0.1611,27,0.27,11,39,18,95000.0,0
14957.0,7662.0,2448.0,2228.0,0.6033,0.1751,5,0.99,0.16,21.5,0.7159,0.149,28,0.28,8,30,12,44200.0,0
27360.0,10493.0,1804.0,6755.0,0.2737,0.3037,7,-2.06,0.28,1.0,0.0333,0.2469,30,0.3,14,47,6,165200.0,1
55427.0,26574.0,8869.0,10773.0,0.3105,0.1662,4,-6.35,0.14,28.8,0.959,0.1944,31,0.31,7,30,18,213700.0,0
21558.0,10870.0,2780.0,6568.0,0.3857,0.0622,5,-3.85,0.22,7.6,0.2546,0.3047,27,0.27,11,26,12,156700.0,0
56319.0,16984.0,2738.0,9484.0,0.2229,0.4814,1,-1.36,0.2,7.5,0.25,0.1684,25,0.25,10,24,18,401500.0,0
8000.0,975.0,922.0,1608.0,0.4195,0.5618,11,0.76,0.2,4.7,0.1551,0.201,17,0.17,10,48,6,19400.0,1
36067.0,6663.0,6791.0,1626.0,0.4917,0.5819,6,0.65,0.18,5.4,0.1797,0.0451,21,0.21,9,24,18,207700.0,0
23207.0,3016.0,2694.0,6790.0,0.2613,0.4613,6,4.52,0.42,1.0,0.0333,0.2926,24,0.24,21,34,18,96300.0,0
18409.0,3404.0,3021.0,2721.0,0.4367,0.5032,5,10.3,0.36,1.7,0.0565,0.1478,17,0.17,18,30,12,76000.0,0
23273.0,6627.0,813.0,5857.0,0.3494,0.4287,9,1.18,0.28,3.0,0.0986,0.2517,29,0.29,14,54,18,72400.0,0
8000.0,1226.0,1230.0,1203.0,0.5618,0.5427,10,-0.3,0.2,15.2,0.5062,0.1503,27,0.27,10,23,12,30000.0,1
19306.0,3379.0,3687.0,7.0,0.5144,0.6337,8,9.1,0.22,6.4,0.2141,0.0004,15,0.15,11,40,18,94300.0,1
27290.0,8204.0,3136.0,3824.0,0.3407,0.4443,2,3.05,0.24,1.0,0.0333,0.1401,27,0.27,12,52,24,193700.0,0
53463.0,13530.0,4673.0,2760.0,0.5931,0.6079,4,2.67,0.26,22.8,0.7598,0.0516,36,0.36,13,31,18,249700.0,0
16140.0,5011.0,2258.0,2252.0,0.4748,0.4101,5,7.32,0.24,1.7,0.0571,0.1395,17,0.17,12,21,24,113000.0,0
13560.0,3975.0,2519.0,1525.0,0.4848,0.4086,5,-1.32,0.3,3.1,0.1031,0.1125,28,0.28,15,46,12,32600.0,0
16300.0,6357.0,979.0,1156.0,0.2998,0.479,10,0.25,0.24,30.0,1.0,0.0709,16,0.16,12,45,12,122500.0,0
38148.0,19903.0,3763.0,1653.0,0.2761,0.3363,9,2.53,0.18,6.0,0.201,0.0433,26,0.26,9,36,12,241500.0,0
26829.0,3985.0,1518.0,6841.0,0.3095,0.5399,4,10.97,0.22,6.6,0.2188,0.255,31,0.31,11,39,18,130200.0,0
16029.0,2319.0,1834.0,4235.0,0.3604,0.4767,7,-6.81,0.22,26.0,0.8667,0.2642,22,0.22,11,21,24,70600.0,0
29970.0,14498.0,3653.0,2780.0,0.5513,0.3016,7,3.65,0.16,1.0,0.0333,0.0927,18,0.18,8,36,6,230300.0,1
23348.0,7655.0,4448.0,4047.0,0.3716,0.3083,8,-1.08,0.2,1.0,0.0333,0.1733,28,0.28,10,26,12,166500.0,1
39387.0,17523.0,3944.0,6397.0,0.1962,0.2926,3,-5.04,0.22,7.6,0.2529,0.1624,27,0.27,11,24,12,186100.0,0
14455.0,2847.0,1827.0,1797.0,0.3179,0.5523,9,-0.37,0.22,3.2,0.1075,0.1243,14,0.14,11,33,18,69500.0,0
18095.0,8559.0,3266.0,1758.0,0.894,0.2493,12,2.98,0.2,4.1,0.1369,0.0972,20,0.2,10,52,18,101500.0,1
17409.0,8978.0,1473.0,1134.0,0.2545,0.3345,9,3.15,0.42,15.1,0.5035,0.0651,28,0.28,21,32,12,137100.0,0
9153.0,3533.0,1324.0,2797.0,0.4243,0.1639,7,-0.14,0.14,1.0,0.0333,0.3055,30,0.3,7,27,24,35200.0,1
26309.0,3884.0,4176.0,7673.0,0.5639,0.402,7,5.81,0.16,1.0,0.0333,0.2917,23,0.23,8,26,12,207200.0,1
25761.0,12955.0,2220.0,3761.0,0.2618,0.2649,4,-5.74,0.28,23.5,0.7837,0.146,16,0.16,14,25,12,88300.0,0
22094.0,10089.0,1280.0,5577.0,0.8408,0.233,5,0.43,0.28,2.9,0.0955,0.2524,26,0.26,14,27,12,105100.0,1
19134.0,8379.0,2210.0,3337.0,0.3818,0.2722,4,7.04,0.2,20.3,0.6783,0.1744,21,0.21,10,36,6,50100.0,0
9422.0,1098.0,854.0,282.0,0.5782,0.7629,4,6.03,0.2,28.8,0.9608,0.0299,27,0.27,10,45,12,38700.0,0
13052.0,7864.0,1289.0,4926.0,0.3761,0.1773,4,-9.9,0.24,1.7,0.0582,0.2878,28,0.28,12,22,12,136200.0,1
17933.0,2906.0,3505.0,1376.0,0.575,0.5657,7,6.73,0.22,1.0,0.0333,0.0767,16,0.16,11,32,18,82700.0,1
13611.0,2723.0,1570.0,3367.0,0.5662,0.4372,11,-3.77,0.24,13.4,0.4461,0.2474,17,0.17,12,40,12,97000.0,1
19995.0,7192.0,3511.0,3691.0,0.4611,0.2801,8,7.99,0.08,26.5,0.8829,0.1846,22,0.22,4,40,18,74100.0,1
28069.0,6154.0,1774.0,6784.0,0.3755,0.4759,5,0.7,0.2,14.9,0.4962,0.2417,25,0.25,10,51,24,203600.0,0
68303.0,27158.0,12957.0,11265.0,0.2176,0.2478,1,10.6,0.16,6.2,0.2053,0.1649,20,0.2,8,26,6,355200.0,0
24459.0,9139.0,4037.0,6014.0,0.2463,0.2154,7,9.31,0.08,1.0,0.0333,0.2459,33,0.33,4,28,12,114300.0,1
25707.0,3822.0,4305.0,295.0,0.205,0.6724,3,-4.24,0.4,1.5,0.0498,0.0115,29,0.29,20,26,6,100600.0,0
21064.0,8325.0,2028.0,301.0,0.1555,0.4942,2,4.37,0.14,20.1,0.6703,0.0143,16,0.16,7,34,6,90000.0,0
8000.0,4126.0,900.0,2510.0,0.4392,0.0579,4,1.73,0.2,1.1,0.0361,0.3137,25,0.25,10,44,12,52500.0,1
21679.0,3740.0,2837.0,5688.0,0.1433,0.4342,8,1.42,0.34,1.0,0.0333,0.2624,30,0.3,17,33,12,154500.0,0
22837.0,8420.0,3751.0,6622.0,0.5761,0.1771,5,11.84,0.08,1.0,0.0333,0.29,21,0.21,4,31,12,127200.0,1
80000.0,20307.0,13947.0,12784.0,0.1846,0.412,0,3.62,0.28,4.0,0.1349,0.1598,26,0.26,14,51,12,506600.0,0
19625.0,6022.0,849.0,3157.0,0.3566,0.489,8,7.71,0.18,6.6,0.2196,0.1609,25,0.25,9,51,24,142300.0,1
26395.0,6048.0,4849.0,4933.0,0.24,0.4003,7,6.24,0.3,3.3,0.1084,0.1869,31,0.31,15,34,18,97000.0,0
21572.0,5595.0,4085.0,1840.0,0.552,0.466,7,1.94,0.28,7.1,0.238,0.0853,24,0.24,14,23,12,143300.0,0
10925.0,1235.0,1429.0,2805.0,0.2298,0.4995,11,4.12,0.16,21.9,0.7316,0.2567,31,0.31,8,27,24,55100.0,0
43726.0,23686.0,2700.0,12694.0,0.1996,0.1062,3,-5.1,0.22,5.6,0.1881,0.2903,21,0.21,11,38,18,162400.0,0
34584.0,13182.0,5849.0,10982.0,0.2176,0.1322,6,0.67,0.16,3.2,0.1081,0.3175,18,0.18,8,31,6,243300.0,0
35405.0,11518.0,4364.0,6407.0,0.1266,0.3705,3,2.48,0.22,9.6,0.32,0.181,24,0.24,11,48,18,96100.0,0
12764.0,3480.0,2156.0,1852.0,0.2975,0.4133,7,2.34,0.14,1.0,0.0333,0.1451,25,0.25,7,48,18,61600.0,0
51107.0,17515.0,8612.0,14863.0,0.4831,0.1979,4,2.13,0.32,5.1,0.1685,0.2908,27,0.27,16,43,12,110000.0,0
9499.0,2575.0,425.0,2502.0,0.4339,0.4208,5,-0.28,0.24,4.3,0.1443,0.2634,27,0.27,12,40,12,28500.0,0
31323.0,8205.0,4172.0,9508.0,0.4275,0.3013,2,1.89,0.3,2.6,0.0857,0.3035,31,0.31,15,35,12,77000.0,0
80000.0,24702.0,8971.0,18360.0,0.1167,0.3496,0,-4.41,0.28,7.0,0.2341,0.2295,21,0.21,14,22,6,469600.0,0
12157.0,2726.0,2320.0,3759.0,0.2831,0.2758,6,12.7,0.28,1.1,0.0357,0.3092,20,0.2,14,34,12,56600.0,1
15681.0,2839.0,1261.0,489.0,0.4249,0.7074,9,-3.54,0.2,7.4,0.2464,0.0312,27,0.27,10,54,18,73100.0,0
23384.0,8195.0,1520.0,5562.0,0.3576,0.3467,5,1.2,0.16,12.6,0.4214,0.2378,33,0.33,8,23,12,86800.0,0
9572.0,7804.0,2972.0,506.0,0.4853,0.3072,8,-9.18,0.36,30.0,1.0,0.0311,26,0.26,18,36,6,88500.0,1
8687.0,1466.0,480.0,2277.0,0.3591,0.5138,11,9.48,0.26,1.7,0.0563,0.2621,25,0.25,13,48,24,40800.0,1
22951.0,2633.0,3367.0,5048.0,0.2956,0.5186,4,9.61,0.22,1.0,0.035,0.22,22,0.22,11,46,18,145100.0,0
11645.0,2458.0,943.0,65.0,0.3275,0.7023,9,3.93,0.24,21.1,0.7043,0.0056,29,0.29,12,51,12,53200.0,0
29265.0,15829.0,3703.0,6138.0,0.5007,0.1229,6,-1.69,0.34,5.8,0.1942,0.2097,25,0.25,17,27,12,139700.0,1
12687.0,6000.0,1710.0,650.0,0.1992,0.3411,8,9.87,0.2,3.8,0.1252,0.0512,26,0.26,10,51,12,84800.0,0
55824.0,20551.0,5636.0,2782.0,0.2372,0.4811,2,2.34,0.36,25.5,0.8502,0.0498,22,0.22,18,35,12,346200.0,0
13767.0,7134.0,2695.0,725.0,0.4335,0.2334,8,-3.87,0.28,2.5,0.0839,0.0527,28,0.28,14,25,18,91100.0,1
18156.0,5454.0,952.0,3075.0,0.4052,0.4779,7,2.84,0.2,22.1,0.738,0.1693,33,0.33,10,30,18,77700.0,0
35886.0,19467.0,3464.0,1451.0,0.5188,0.3206,4,1.36,0.26,17.2,0.5729,0.0404,29,0.29,13,42,6,267600.0,0
10525.0,2456.0,1086.0,463.0,0.4618,0.6195,4,-1.03,0.3,6.4,0.2138,0.044,26,0.26,15,26,24,69300.0,0
25247.0,5255.0,3466.0,2264.0,0.2324,0.5649,9,3.93,0.16,1.4,0.0456,0.0897,23,0.23,8,35,24,131400.0,0
48256.0,18681.0,4789.0,14.0,0.2147,0.5133,3,-7.54,0.18,7.2,0.2397,0.0003,27,0.27,9,54,12,283400.0,0
8396.0,2268.0,390.0,810.0,0.2553,0.5868,10,-4.59,0.12,7.7,0.2579,0.0965,34,0.34,6,39,6,18400.0,0
24607.0,9396.0,4701.0,5326.0,0.1305,0.2106,2,3.35,0.24,2.6,0.0855,0.2164,27,0.27,12,39,18,75700.0,0
25743.0,6108.0,2593.0,5420.0,0.2124,0.4515,4,-0.13,0.12,3.6,0.1216,0.2105,30,0.3,6,51,18,111200.0,0
35210.0,13312.0,3107.0,11948.0,0.1471,0.1943,5,2.29,0.28,2.6,0.0882,0.3393,22,0.22,14,36,18,84900.0,0
10486.0,2350.0,1111.0,439.0,0.4627,0.6281,5,11.21,0.2,13.3,0.4435,0.0419,23,0.23,10,32,18,73700.0,0
9974.0,1226.0,666.0,3022.0,0.2015,0.5073,2,3.45,0.22,28.8,0.9609,0.3029,23,0.23,11,36,12,41300.0,0
30127.0,15378.0,1417.0,4125.0,0.2369,0.3056,3,-4.7,0.22,9.1,0.3024,0.1369,27,0.27,11,38,24,155900.0,0
26323.0,13094.0,1455.0,3566.0,0.4985,0.3118,8,7.17,0.3,22.7,0.7575,0.1355,23,0.23,15,29,18,104800.0,0
25599.0,13743.0,1493.0,3125.0,0.4126,0.2827,7,1.97,0.22,12.4,0.4145,0.1221,19,0.19,11,40,12,152200.0,1
27116.0,11455.0,1725.0,1184.0,0.6877,0.4703,6,10.18,0.24,1.1,0.0381,0.0437,24,0.24,12,30,12,147500.0,1
14647.0,5965.0,1485.0,2453.0,0.502,0.3239,6,3.83,0.14,7.8,0.26,0.1675,23,0.23,7,26,6,34100.0,1
25320.0,8901.0,3445.0,6978.0,0.445,0.2368,10,6.38,0.16,6.5,0.2178,0.2756,24,0.24,8,33,12,178700.0,1
26261.0,4114.0,3595.0,8046.0,0.3093,0.4,7,6.9,0.3,3.9,0.1311,0.3064,24,0.24,15,48,18,83000.0,1
14348.0,2657.0,431.0,4835.0,0.3828,0.4478,6,1.3,0.32,2.7,0.0893,0.337,21,0.21,16,42,12,48100.0,0
67472.0,15536.0,12588.0,18545.0,0.195,0.3083,1,-4.23,0.28,15.5,0.5169,0.2749,32,0.32,14,26,12,383100.0,0
29269.0,14651.0,4972.0,6383.0,0.2559,0.1115,7,10.75,0.16,26.5,0.8848,0.2181,21,0.21,8,44,6,72300.0,1
10778.0,1917.0,2089.0,1877.0,0.2812,0.4542,3,6.66,0.26,23.4,0.7795,0.1741,20,0.2,13,27,12,52700.0,0
32661.0,16830.0,2979.0,10001.0,0.5768,0.0873,5,5.18,0.3,1.0,0.0333,0.3062,20,0.2,15,38,12,193000.0,1
12273.0,4115.0,1755.0,3177.0,0.3809,0.2629,7,-0.49,0.16,20.1,0.6694,0.2588,28,0.28,8,21,12,67100.0,0
35322.0,14906.0,2069.0,1994.0,0.238,0.463,6,-2.41,0.34,10.1,0.3374,0.0564,30,0.3,17,40,18,141500.0,0
44142.0,6604.0,7455.0,10545.0,0.2228,0.4426,2,1.58,0.28,7.8,0.26,0.2389,26,0.26,14,41,12,227100.0,0
13462.0,2976.0,773.0,2031.0,0.2107,0.5706,8,8.89,0.18,1.5,0.0488,0.1509,24,0.24,9,27,12,27500.0,0
39263.0,20861.0,3354.0,8187.0,0.2197,0.1747,3,7.43,0.42,20.8,0.6937,0.2085,23,0.23,21,39,18,139200.0,0
28217.0,6201.0,3201.0,8872.0,0.264,0.3524,7,-6.13,0.34,1.0,0.0333,0.3144,20,0.2,17,28,18,88100.0,0
36071.0,8420.0,4728.0,8239.0,0.2008,0.4071,3,6.97,0.22,2.8,0.0933,0.2284,31,0.31,11,52,18,186500.0,0
68739.0,12986.0,8602.0,22585.0,0.0861,0.3574,1,-3.23,0.34,5.4,0.1793,0.3286,20,0.2,17,54,18,506500.0,0
19011.0,3005.0,900.0,5765.0,0.4246,0.4913,5,2.56,0.28,1.0,0.0333,0.3032,27,0.27,14,47,6,90600.0,0
14013.0,2872.0,1425.0,632.0,0.262,0.6482,4,1.62,0.2,20.4,0.681,0.0451,21,0.21,10,34,18,78700.0,0
12917.0,5025.0,2414.0,53.0,0.5611,0.42,6,17.41,0.2,3.8,0.1273,0.0041,17,0.17,10,39,6,43200.0,1
13501.0,4117.0,2407.0,1816.0,0.4141,0.3822,9,-5.14,0.2,2.0,0.0674,0.1345,24,0.24,10,52,18,45100.0,1
21031.0,7344.0,2743.0,6369.0,0.2993,0.2175,4,-1.88,0.28,1.0,0.0333,0.3029,27,0.27,14,48,12,134700.0,0
27030.0,4191.0,3441.0,2177.0,0.2266,0.6371,3,-7.73,0.24,8.6,0.2874,0.0805,22,0.22,12,39,18,136600.0,0
26004.0,11987.0,1274.0,6293.0,0.3476,0.2481,7,5.58,0.38,2.2,0.0717,0.242,26,0.26,19,47,18,124800.0,1
36182.0,16385.0,2317.0,6028.0,0.4227,0.3165,9,11.9,0.18,5.6,0.1856,0.1666,26,0.26,9,37,12,174100.0,1
22199.0,2436.0,1619.0,5797.0,0.6234,0.5562,3,8.37,0.22,2.3,0.0761,0.2611,31,0.31,11,30,18,48200.0,1
52687.0,14361.0,5953.0,3042.0,0.1884,0.5567,1,-5.77,0.36,6.5,0.2152,0.0577,24,0.24,18,45,24,149300.0,0
18792.0,2461.0,2900.0,1573.0,0.1867,0.631,5,3.84,0.18,12.8,0.4259,0.0837,21,0.21,9,41,24,141200.0,0
80000.0,36516.0,8666.0,6791.0,0.1611,0.3503,0,8.16,0.2,15.0,0.5011,0.0849,29,0.29,10,41,24,181300.0,0
32061.0,13843.0,1649.0,6155.0,0.3302,0.3248,6,1.4,0.18,9.5,0.3154,0.192,30,0.3,9,28,12,203700.0,0
13170.0,6663.0,1379.0,1335.0,0.4771,0.288,4,-2.98,0.24,6.6,0.219,0.1014,16,0.16,12,38,6,88600.0,0
11585.0,2391.0,668.0,3291.0,0.6444,0.4519,3,7.57,0.12,20.6,0.6854,0.2841,25,0.25,6,38,24,75700.0,1
29422.0,8983.0,4640.0,3571.0,0.2066,0.4156,5,4.66,0.44,6.3,0.2087,0.1214,31,0.31,22,32,6,148800.0,0
19263.0,3525.0,1123.0,4455.0,0.6911,0.5274,10,9.99,0.22,6.6,0.2199,0.2313,24,0.24,11,32,12,58000.0,1
33806.0,9028.0,3787.0,11223.0,0.4721,0.2889,10,7.01,0.24,17.4,0.5786,0.332,32,0.32,12,42,18,209700.0,1
29259.0,9802.0,4327.0,6215.0,0.2422,0.3047,4,19.43,0.14,5.9,0.1959,0.2124,28,0.28,7,40,6,85300.0,1
21085.0,2614.0,1450.0,1787.0,0.1558,0.7225,7,7.91,0.22,1.6,0.0538,0.0848,15,0.15,11,30,24,124400.0,0
8983.0,5588.0,569.0,3852.0,0.5473,0.2447,6,-9.83,0.18,14.7,0.4906,0.2907,21,0.21,9,44,18,95000.0,1
